COXORB Performance Data   07:45  23/08/2022 
Distance,Elapsed Time,Stroke Count,Rate,Check,Speed (mm:ss/500m),Speed (m/s),Distance/Stroke 
00000,0:00:00.0,00001,000.0,000,99:59,00.00,00.00
00025,0:00:13.8,00006,034.0,046,03:01,02.77,03.14
00050,0:00:18.6,00009,037.5,065,01:37,05.17,07.32
00075,0:00:22.8,00012,036.8,071,01:28,05.67,08.92
00100,0:00:27.0,00015,035.9,068,01:24,05.96,09.83
00125,0:00:31.6,00017,034.5,065,01:27,05.73,10.10
00150,0:00:36.2,00020,033.8,064,01:32,05.43,09.72
00175,0:00:41.0,00022,033.2,060,01:34,05.30,09.69
00200,0:00:45.6,00025,033.3,057,01:35,05.25,09.50
00225,0:00:50.2,00027,032.6,056,01:34,05.31,09.63
00250,0:00:54.8,00030,032.2,054,01:29,05.61,10.35
00275,0:01:00.0,00033,032.5,052,01:43,04.85,09.39
00300,0:01:04.8,00035,032.1,050,01:41,04.97,09.20
00325,0:01:09.6,00038,032.6,050,01:37,05.14,09.43
00350,0:01:14.6,00041,032.3,051,01:39,05.05,09.35
00375,0:01:19.6,00043,032.5,050,01:43,04.85,09.10
00400,0:01:25.0,00046,032.3,050,01:45,04.78,08.90
00425,0:01:30.2,00049,031.8,049,01:43,04.84,09.05
00450,0:01:39.6,00054,032.7,045,02:00,04.17,04.84
00475,0:01:44.8,00057,032.4,049,01:46,04.73,08.10
00500,0:01:49.8,00060,033.3,049,01:41,04.95,08.70
00525,0:01:55.0,00063,033.1,051,01:40,04.98,09.04
00550,0:01:59.8,00065,032.9,052,01:40,04.99,09.06
00575,0:02:04.8,00068,033.6,050,01:40,04.99,08.95
00600,0:02:09.8,00071,033.0,051,01:40,04.98,08.99
00625,0:02:15.0,00074,033.4,052,01:41,04.93,08.90
00650,0:02:20.0,00077,033.1,053,01:43,04.87,08.80
00675,0:02:25.2,00079,033.1,052,01:43,04.84,08.75
00700,0:02:30.4,00082,033.1,050,01:42,04.88,08.81
00725,0:02:35.6,00085,033.0,051,01:44,04.80,08.71
00750,0:02:40.8,00088,033.1,050,01:46,04.73,08.57
00775,0:02:45.8,00091,033.0,050,01:42,04.91,08.79
00800,0:02:51.2,00094,033.2,051,01:46,04.70,08.70
00825,0:02:56.6,00097,033.2,049,01:47,04.66,08.42
00850,0:03:01.6,00099,032.7,049,01:42,04.90,08.76
00875,0:03:06.8,00102,032.9,049,01:44,04.80,08.77
00900,0:03:12.0,00105,033.4,051,01:44,04.81,08.64
00925,0:03:17.4,00108,033.2,052,01:46,04.73,08.55
00950,0:03:22.6,00111,033.0,051,01:45,04.75,08.58
00975,0:03:28.0,00114,033.1,049,01:47,04.69,08.52
01000,0:03:34.0,00117,033.2,049,02:02,04.09,07.63
01025,0:03:39.0,00120,033.6,050,01:46,04.73,08.10
01050,0:03:44.0,00123,033.5,052,01:38,05.08,08.89
01075,0:03:49.2,00126,033.5,052,01:45,04.76,08.70
01100,0:03:54.4,00129,033.5,051,01:43,04.87,08.65
01125,0:03:59.8,00132,033.5,051,01:48,04.63,08.46
01150,0:04:05.0,00135,033.6,051,01:45,04.75,08.39
01175,0:04:10.2,00138,033.3,050,01:46,04.70,08.50
01200,0:04:15.8,00141,033.4,051,01:48,04.61,08.29
01225,0:04:21.0,00144,033.5,050,01:47,04.66,08.31
01250,0:04:26.0,00147,033.4,050,01:41,04.94,08.65
01275,0:04:31.2,00149,033.7,051,01:40,04.98,08.76
01300,0:04:36.2,00152,033.7,051,01:42,04.90,08.66
01325,0:04:41.6,00155,033.6,051,01:45,04.76,08.60
01350,0:04:46.6,00158,033.8,051,01:44,04.80,08.44
01375,0:04:52.0,00161,033.8,050,01:46,04.73,08.43
01400,0:04:57.8,00164,033.1,049,01:52,04.48,08.33
01425,0:05:03.4,00168,033.3,047,01:52,04.45,07.86
01450,0:05:09.6,00171,032.7,048,02:04,04.02,07.65
01475,0:05:15.0,00174,033.8,048,01:52,04.48,07.70
01500,0:05:20.2,00177,034.2,051,01:44,04.82,08.31
01525,0:05:25.4,00180,034.4,052,01:45,04.76,08.30
01550,0:05:30.6,00183,034.2,052,01:46,04.70,08.19
01575,0:05:36.0,00186,034.2,054,01:47,04.66,08.20
01600,0:05:41.2,00189,034.3,052,01:44,04.82,08.31
01625,0:05:46.4,00192,033.9,051,01:44,04.81,08.46
01650,0:05:51.4,00195,034.5,051,01:42,04.88,08.43
01675,0:05:56.6,00198,034.0,051,01:44,04.83,08.52
01700,0:06:01.8,00201,034.3,052,01:44,04.80,08.40
01725,0:06:07.0,00204,034.4,052,01:42,04.92,08.55
01750,0:06:12.2,00207,034.3,052,01:47,04.69,08.25
01775,0:06:17.4,00210,034.4,051,01:43,04.85,08.32
01800,0:06:22.6,00213,034.6,052,01:44,04.82,08.37
01825,0:06:27.8,00216,034.9,054,01:44,04.80,08.20
01850,0:06:33.0,00219,035.3,054,01:44,04.81,08.09
01875,0:06:38.0,00222,034.9,055,01:44,04.82,08.25
01900,0:06:43.4,00225,035.2,052,01:44,04.81,08.15
01925,0:06:48.6,00228,034.7,053,01:45,04.74,08.14
01950,0:06:53.6,00231,035.0,051,01:43,04.85,08.26
01975,0:06:58.8,00234,034.9,052,01:44,04.81,08.24
02000,0:07:04.0,00237,035.0,052,01:45,04.78,08.16
02025,0:07:09.4,00240,034.9,051,01:45,04.77,08.15
02050,0:07:14.4,00243,034.4,052,01:43,04.85,08.37
02075,0:07:19.6,00246,034.7,051,01:45,04.74,08.27
02100,0:07:24.8,00249,034.2,051,01:44,04.82,08.29
02125,0:07:30.2,00252,034.4,051,01:45,04.76,08.31
02150,0:07:35.4,00255,034.1,050,01:45,04.78,08.34
02175,0:07:40.8,00258,034.2,049,01:47,04.68,08.19
02200,0:07:46.4,00261,034.6,050,01:45,04.75,08.16
02225,0:07:54.0,00266,034.9,056,02:30,03.33,05.77
02250,0:07:59.2,00269,034.8,054,01:48,04.64,07.30
02275,0:08:04.4,00272,035.0,053,01:44,04.82,08.11
02300,0:08:09.6,00275,035.3,053,01:47,04.67,07.94
02325,0:08:14.8,00278,035.6,054,01:42,04.90,08.16
02350,0:08:20.0,00281,035.6,054,01:44,04.83,08.09
02375,0:08:25.0,00284,035.4,054,01:40,04.98,08.33
02400,0:08:30.4,00287,035.1,053,01:47,04.69,08.16
02425,0:08:35.4,00290,035.2,053,01:44,04.81,08.09
02450,0:08:40.6,00293,035.0,054,01:43,04.85,08.24
02475,0:08:45.6,00296,035.1,054,01:43,04.86,08.26
02500,0:08:50.8,00299,035.1,055,01:40,05.00,08.50
02525,0:08:55.8,00302,035.0,054,01:41,04.93,08.41
02550,0:09:01.0,00305,035.0,052,01:43,04.87,08.39
02575,0:09:06.2,00308,035.0,054,01:45,04.77,08.18
02600,0:09:11.4,00311,035.4,052,01:44,04.80,08.12
02625,0:09:16.6,00315,035.3,053,01:46,04.71,08.03
02650,0:09:21.8,00318,035.0,053,01:44,04.82,08.19
02675,0:09:27.0,00321,035.1,052,01:44,04.83,08.16
02700,0:09:32.2,00324,034.9,052,01:43,04.86,08.33
02725,0:09:37.0,00326,034.8,052,01:39,05.03,08.52
02750,0:09:42.2,00329,034.8,053,01:41,04.96,08.54
02775,0:09:47.2,00332,035.1,052,01:43,04.87,08.32
02800,0:09:52.2,00335,035.1,054,01:41,04.93,08.40
02825,0:09:57.2,00338,035.1,052,01:39,05.03,08.46
02850,0:10:02.2,00341,034.6,052,01:40,04.99,08.62
02875,0:10:07.4,00344,035.0,053,01:44,04.83,08.40
02900,0:10:12.6,00347,034.6,052,01:44,04.83,08.35
02925,0:10:17.8,00350,035.0,050,01:44,04.79,08.22
02950,0:10:23.0,00353,034.7,051,01:43,04.86,08.30
02975,0:10:28.4,00356,034.3,051,01:48,04.63,08.19
03000,0:10:33.8,00360,034.5,049,01:48,04.64,08.00
03025,0:10:39.2,00363,034.2,048,01:50,04.54,07.99
03050,0:10:44.6,00366,035.1,050,01:48,04.63,07.77
03075,0:10:49.8,00369,035.4,054,01:43,04.86,08.11
03100,0:10:55.0,00372,035.2,052,01:43,04.87,08.25
03125,0:11:00.4,00375,035.0,051,01:48,04.63,08.01
03150,0:11:05.4,00378,035.0,053,01:45,04.76,08.04
03175,0:11:10.6,00381,035.0,052,01:44,04.82,08.24
03200,0:11:15.6,00384,034.8,052,01:37,05.13,08.60
03225,0:11:20.8,00387,034.9,052,01:43,04.84,08.43
03250,0:11:25.8,00390,034.8,052,01:42,04.90,08.38
03275,0:11:31.2,00393,034.8,051,01:47,04.68,08.14
03300,0:11:36.4,00396,034.7,051,01:46,04.70,08.11
03325,0:11:41.8,00399,034.3,049,01:47,04.69,08.21
03350,0:11:47.0,00402,033.7,047,01:46,04.72,08.36
03375,0:11:52.4,00405,034.1,048,01:49,04.58,08.16
03400,0:11:57.8,00408,033.5,050,01:47,04.69,08.37
03425,0:12:03.4,00411,033.6,050,01:52,04.47,07.98
03450,0:12:08.8,00414,034.2,050,01:50,04.56,07.89
03475,0:12:14.0,00417,034.9,052,01:46,04.72,08.05
03500,0:12:19.2,00421,034.9,055,01:43,04.85,08.24
03525,0:12:24.4,00424,034.9,055,01:42,04.92,08.39
03550,0:12:29.6,00427,035.1,054,01:45,04.75,08.17
03575,0:12:34.6,00430,035.2,054,01:43,04.86,08.18
03600,0:12:39.8,00433,035.0,052,01:44,04.80,08.21
03625,0:12:45.2,00436,034.6,054,01:45,04.78,08.24
03650,0:12:50.4,00439,035.4,052,01:48,04.62,07.90
03675,0:12:55.6,00442,034.8,051,01:44,04.80,08.09
03700,0:13:00.8,00445,035.7,051,01:44,04.81,08.05
03725,0:13:05.8,00448,036.4,055,01:41,04.95,08.13
03750,0:13:10.8,00451,036.1,055,01:41,04.94,08.18
03775,0:13:15.8,00454,036.1,056,01:38,05.10,08.35
03800,0:13:20.8,00457,036.0,056,01:41,04.96,08.28
03825,0:13:25.8,00460,036.1,055,01:39,05.06,08.43
03850,0:13:30.8,00463,036.1,051,01:43,04.86,08.05
03875,0:13:35.8,00466,035.7,056,01:40,05.00,08.27
03900,0:13:40.8,00469,036.3,055,01:40,04.99,08.22
03925,0:13:45.8,00472,036.7,055,01:38,05.08,08.27
03950,0:13:50.8,00475,036.0,055,01:39,05.04,08.38
03975,0:13:55.6,00478,036.0,057,01:39,05.04,08.34
04000,0:14:00.4,00481,036.4,056,01:37,05.13,08.36
04025,0:14:05.2,00484,036.8,057,01:35,05.27,08.57
04050,0:14:10.0,00487,036.9,057,01:35,05.27,08.54
04075,0:14:14.8,00490,036.7,057,01:35,05.24,08.52
04100,0:14:19.6,00493,036.3,058,01:36,05.23,08.69
04125,0:14:24.6,00496,036.6,055,01:41,04.95,08.20
04150,0:14:29.6,00499,036.5,056,01:40,04.98,08.20
04175,0:14:41.4,00506,036.6,055,02:21,03.55,04.54
04200,0:14:46.4,00509,036.6,055,01:41,04.95,07.59
04225,0:14:51.4,00512,036.8,055,01:42,04.92,07.94
04250,0:14:56.2,00515,037.0,056,01:35,05.25,08.34
04275,0:15:01.0,00518,035.4,056,01:36,05.20,08.93
